Unnamed: 0,unique_id,district,site,chickens,cows,pigs,bikes,goats,sheep,ducks,pesticide,yield_kg_pa,plot_acres,can_kg,dap_kg,urea_kg,weed,seed_kg,hybrid,seed_kg_pa,seed_kg_ph,yield_kg_ph,country,year,season,crop,can_kg_pa,can_kg_ph,dap_kg_pa,dap_kg_ph,urea_kg_pa,urea_kg_ph,hh_num,basal_method,lime_kg,field_latitude,field_longitude,chicks,oxen,seed_type,plot_hectares,FAW,termites,striga,electricity,rabbits,flood,comp_source_manure,stemborer,mlnd,cutworms,msv,gls,distance_min,slope_angle_num,slope,seed_depth_num,guinea_fowl,hh_num_under18,distance_meter,fertility,drought,compost,comp_method,comp_quality,prev_season_lime_kg,hybridseed_kg_pa,aphids,localseed_kg_pa,lime_kg_pa,lime_kg_ph,localseed_kg_ph,hybridseed_kg_ph,comp_kg_pa,comp_wb_pa,prev_season_yield,hh_num_under5,npk_kg,lime_method,prev_season_npk_kg,prev_season_dap_kg,prev_season_can_kg,prev_season_urea_kg,chicken_binary,goats_binary,cows_binary,radio_binary,bikes_binary,npk_kg_pa,pest_disease,comp_source,localseed_kg,npk_kg_ph,dap_method,urea_method,heavy_rain,comp_kg_ph,npk_method,hail,plants_sqm_spacing,planting_method,anthracnose,blight,row_spacing,plant_spacing,slope_angle_des,seed_depth_est,harvest_date,plant_date,hybridseed_kg,stalk_rot,kelnel_rot,sitename,site_longitude,site_latitude,geometry,start_date,end_date,NDVI,EVI,SAVI,GNDVI,DVI,OSAVI,GARI,RDVI,SGI,RGRI
29737,1125940,Rutsiro,Tangabo,0.0,3.0,0.0,0.0,0.0,0.0,,1.0,1699.6812,0.111207768321037,,,,1.0,,,,,4199.9971,Rwanda,2016,a season,potato,,,0.0,0.0,0.0,0.0,,,,-1.95630647191703,29.4218313779232,,,,0.0450042560696602,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,3597.209,,,,,,,,,,,,,,,0.0,1.0,,,0.0,,,,8888.8828,,,,,,,40.0,30.0,,,2016-03-28,2015-12-30,,,,,29.42269136,-1.957465561,"POLYGON ((29.421640808334832 -1.956115902328662, 29.42202194751157 -1.956115902328662, 29.42202194751157 -1.956497041505398, 29.421640808334832 -1.956497041505398, 29.421640808334832 -1.956115902328662))",2016-10-11,2016-11-30,0.400522306554897,18.600389740381154,0.6007103571540917,0.3886418220199674,1652.453903837671,0.6007600673326737,0.2484139093663338,25.71312448898678,12.795196241674097,0.9723088880388757
29740,01e88332,Rutsiro,Tangabo,0.0,1.0,0.0,0.0,0.0,2.0,,0.0,2023.4301,0.0988513454794884,,,,1.0,,,,,4999.9971,Rwanda,2016,a season,potato,,,0.0,0.0,0.0,0.0,,,,-1.92844454629411,29.4097928071728,,,,0.0400037802755833,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,1011.715,,,,,,,,,,,,,,,0.0,1.0,,,0.0,,,,2499.9985,,,,,,,70.0,40.0,,,2016-03-30,2016-03-30,,,,,29.42269136,-1.957465561,"POLYGON ((29.409613136448343 -1.9282648755696528, 29.409972477897256 -1.9282648755696528, 29.409972477897256 -1.9286242170185672, 29.409613136448343 -1.9286242170185672, 29.409613136448343 -1.9282648755696528))",2016-10-11,2016-11-30,0.5435015749525106,0.3040878099956266,0.8151465730426143,0.4548373786761323,2103.240254964452,0.8152185072282995,0.3447721011207864,33.79131210808671,11.132791214989927,0.7888241414493077
29791,d08240c4,Rutsiro,Mataba,3.0,3.0,0.0,0.0,2.0,1.0,,0.0,3965.9229,0.247128367424011,,,,1.0,,,,,9799.9941,Rwanda,2016,a season,potato,,,0.0,0.0,0.0,0.0,,,,-1.9122186711626,29.4009435193095,,,,0.100009456276894,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,728.43481,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,1799.9989,,,,,,,60.0,40.0,,,2016-03-16,2015-11-30,,,,,29.41033562,-1.926739132,"POLYGON ((29.400659434942494 -1.9119345867955948, 29.401227603676507 -1.9119345867955948, 29.401227603676507 -1.912502755529605, 29.400659434942494 -1.912502755529605, 29.400659434942494 -1.9119345867955948))",2016-10-11,2016-11-30,0.24892686045010398,-0.490021284736868,0.37329059274205656,0.16063716809356793,469.45173072600574,0.37335838026521656,0.13117619024940913,10.799047420793274,8.447441569712218,0.8318492560527061
29835,e0854809,Rutsiro,Terimbere,2.0,2.0,0.0,0.0,0.0,1.0,,1.0,2751.8647,0.0741385072469711,,,,2.0,,,,,6799.9956,Rwanda,2016,a season,potato,,,0.0,0.0,0.0,0.0,,,,-1.76683865964146,29.3495110328919,,,,0.03000283613801,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,30.0,30.0,,,2016-02-24,2015-11-23,,,,,29.33884802,-1.755245308,"POLYGON ((29.34935543347779 -1.766683060227349, 29.34966663230601 -1.766683060227349, 29.34966663230601 -1.7669942590555712, 29.34935543347779 -1.7669942590555712, 29.34935543347779 -1.766683060227349))",2016-10-11,2016-11-30,0.3686898149630336,-1.027049185236625,0.5528833192957499,0.26770723541213937,676.7224583197122,0.5529862640807817,0.2071750178597027,15.785270471242846,7.18554757287511,0.797135573561264
29853,56933524,Rutsiro,Haniro,7.0,6.0,2.0,1.0,3.0,4.0,,1.0,3804.0483,0.123564183712006,,,,1.0,,,,,9399.9932,Rwanda,2016,a season,potato,,,0.0,0.0,0.0,0.0,,,,-1.94031956098275,29.441735586098,,,,0.0500047281384468,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,4046.8601,,,,,,,,,,,,,,,0.0,1.0,,,0.0,,,,9999.9941,apply in hole,,,,,,60.0,40.0,,,2016-01-28,2015-11-20,,,,,29.44384391,-1.959739983,"POLYGON ((29.441534708115665 -1.9401186830004116, 29.44193646408034 -1.9401186830004116, 29.44193646408034 -1.9405204389650883, 29.441534708115665 -1.9405204389650883, 29.441534708115665 -1.9401186830004116))",2016-10-11,2016-11-30,,,,,,,,,,
29894,4a038c06,Rutsiro,Haniro,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1699.6812,0.0988513454794884,,,,1.0,,,,,4199.9971,Rwanda,2016,a season,potato,,,0.0,0.0,0.0,0.0,,,,-1.95872597363277,29.4402768939262,,,,0.0400037802755833,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,4046.8601,,,,,,,,,,,,,,,0.0,1.0,,,0.0,,,,9999.9941,,,,,,,50.0,40.0,,,2016-03-10,2015-12-16,,,,,29.44384391,-1.959739983,"POLYGON ((29.440097223201743 -1.9585463029083128, 29.440456564650656 -1.9585463029083128, 29.440456564650656 -1.9589056443572272, 29.440097223201743 -1.9589056443572272, 29.440097223201743 -1.9585463029083128))",2016-10-11,2016-11-30,0.47394459585056586,-1.8611928252954295,0.7108092092534087,0.40069478677183973,1569.1029411764705,0.7108824188338028,0.2906721476830688,27.259826353947638,10.445195826829648,0.8347212889907407
29940,0b84cba9,Rutsiro,Haniro,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,4370.6089,0.0709258392453194,,,,1.0,,,,,10799.993,Rwanda,2016,a season,potato,,,0.0,0.0,0.0,0.0,,,,-1.94105798868015,29.4350732531022,,,,0.0287027135491371,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,4230.1665,,,,,,,,,,,,,,,0.0,1.0,,,0.0,apply in hole,apply in hole,,10452.953,,,,,,,30.0,30.0,,,2016-03-30,2016-01-20,,,,,29.44384391,-1.959739983,"POLYGON ((29.43492106234397 -1.9409057979219226, 29.43522544386043 -1.9409057979219226, 29.43522544386043 -1.9412101794383774, 29.43492106234397 -1.9412101794383774, 29.43492106234397 -1.9409057979219226))",2016-10-11,2016-11-30,0.27624067664146423,-0.794392523364486,0.41427003293084524,0.2048092931509018,629,0.4143318870874247,0.1499404013156891,13.181630395585163,9.59000015258789,0.8592283725738525
30002,d0093fb3,Rutsiro,busuku,0.0,1.0,0.0,0.0,0.0,2.0,,0.0,2509.0532,0.370692551136017,,,,1.0,,,,,6199.9961,Rwanda,2016,a season,potato,,,242.8116,599.99963,242.8116,599.99963,,,,-1.74973549172191,29.3749615434855,,,,0.150014191865921,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,apply in hole,,0.0,,,,,,,70.0,40.0,,,2016-02-05,2015-10-20,,,,,29.4095106,-1.751044538,"POLYGON ((29.37461361260533 -1.7493875608417377, 29.37530947436567 -1.7493875608417377, 29.37530947436567 -1.750083422602082, 29.37461361260533 -1.750083422602082, 29.37461361260533 -1.7493875608417377))",2016-10-11,2016-11-30,0.5985391943025222,2.100918990470503,0.8976932020119759,0.5078920680639972,2353.6747011561833,0.8977717963242436,0.3955688731212824,37.47630965562584,10.04253641403012,0.7641936703621897
30034,3f1836cf,Karongi,Kavumu  A,0.0,3.0,0.0,0.0,5.0,4.0,,1.0,3480.2996,0.0494256727397442,,,,2.0,,,,,8599.9941,Rwanda,2016,a season,potato,,,0.0,0.0,0.0,0.0,,,,-2.20459619640343,29.3910032193453,,,,0.0200018901377916,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,607.02899,,,,,,,,,,,,,,,80.937202,0.0,,,199.99988,,,,1499.999,apply in hole,,,,,,60.0,40.0,,,2016-03-16,2016-11-29,,,,,29.3946513,-2.221475957,"POLYGON ((29.390876172957658 -2.2044691500157856, 29.391130265732944 -2.2044691500157856, 29.391130265732944 -2.2047232427910743, 29.390876172957658 -2.2047232427910743, 29.390876172957658 -2.2044691500157856))",2016-10-11,2016-11-30,0.5637076884318309,-6.6308927484942615,0.8453959473401166,0.45353391186855757,1440.6658500734934,0.8455085367946403,0.35535867844417596,28.493457519625693,7.493811816692586,0.7416220974653506
30064,60d68cca,Karongi,Rubazo,6.0,2.0,3.0,0.0,0.0,0.0,,0.0,1015.2095,0.0741385072469711,,,,1.0,,,,,2508.6333,Rwanda,2016,a season,potato,,,0.0,0.0,0.0,0.0,,,,-2.15104409948843,29.3686896661597,,,,0.03000283613801,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,broadcast,,0.0,,,,,,,,,,,2015-12-30,2015-08-20,,,,,29.36116753,-2.150180506,"POLYGON ((29.36853406674559 -2.150888500074319, 29.36884526557381 -2.150888500074319, 29.36884526557381 -2.1511996989025413, 29.36853406674559 -2.1511996989025413, 29.36853406674559 -2.150888500074319))",2016-10-11,2016-11-30,0.5551203231308974,5.81314809498448,0.832576600220798,0.4940631921190062,2229.5114379084966,0.8326472320704291,0.3648621599756036,35.170684666822076,10.524522834353979,0.8426705074660917
