,unique_id,district,site,chickens,cows,pigs,bikes,goats,sheep,ducks,pesticide,yield_kg_pa,plot_acres,can_kg,dap_kg,urea_kg,weed,seed_kg,hybrid,seed_kg_pa,seed_kg_ph,yield_kg_ph,country,year,season,crop,can_kg_pa,can_kg_ph,dap_kg_pa,dap_kg_ph,urea_kg_pa,urea_kg_ph,hh_num,basal_method,lime_kg,field_latitude,field_longitude,chicks,oxen,seed_type,plot_hectares,FAW,termites,striga,electricity,rabbits,flood,comp_source_manure,stemborer,mlnd,cutworms,msv,gls,distance_min,slope_angle_num,slope,seed_depth_num,guinea_fowl,hh_num_under18,distance_meter,fertility,drought,compost,comp_method,comp_quality,prev_season_lime_kg,hybridseed_kg_pa,aphids,localseed_kg_pa,lime_kg_pa,lime_kg_ph,localseed_kg_ph,hybridseed_kg_ph,comp_kg_pa,comp_wb_pa,prev_season_yield,hh_num_under5,npk_kg,lime_method,prev_season_npk_kg,prev_season_dap_kg,prev_season_can_kg,prev_season_urea_kg,chicken_binary,goats_binary,cows_binary,radio_binary,bikes_binary,npk_kg_pa,pest_disease,comp_source,localseed_kg,npk_kg_ph,dap_method,urea_method,heavy_rain,comp_kg_ph,npk_method,hail,plants_sqm_spacing,planting_method,anthracnose,blight,row_spacing,plant_spacing,slope_angle_des,seed_depth_est,harvest_date,plant_date,hybridseed_kg,stalk_rot,kelnel_rot,sitename,site_longitude,site_latitude
29687,31059ade,Nyamasheke,Mubumbano,0.0,2.0,2.0,0.0,2.0,0.0,,1.0,1857.5088,0.0741385072469711,,,,3.0,,1.0,,,4589.9971,Rwanda,2016,a season,maize,,,0.0,0.0,242.8116,599.99963,,,,-2.34600756730551,29.106166579189,,,nsp,0.03000283613801,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,4046.8601,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,broadcast,,9999.9941,,,,,,,75.0,40.0,,,2016-02-15,2015-10-20,,,,,29.10788297,-2.350856872
29688,a45c6086,Gatsibo,Kabeza b,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,2706.5398,0.148277014493942,,,,1.0,,0.0,,,6687.9951,Rwanda,2016,a season,maize,,,0.0,0.0,0.0,0.0,,,,-1.59666778245892,30.3588140550068,,,nsp,0.0600056722760201,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,337.23831,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,833.3327,,,,,,,100.0,80.0,,,2016-01-13,2015-09-15,,,,,30.35578009,-1.594008309
29698,105d0486,Karongi,Murengezo,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,1803.473,0.103793911635876,,,,2.0,,1.0,,,4456.4722,Rwanda,2016,a season,maize,,,6.4749761,15.99999,0.0,0.0,,,,-2.23268670172269,29.4351676225428,,,nsp,0.042003970593214,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,385.41528,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,broadcast,,952.38043,,,,,,,70.0,40.0,,,2016-02-15,2015-09-20,,,,,29.45092603,-2.24762268
29699,b1f0ea30,Nyanza,Nyamure,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1092.6522,0.123564183712006,,,,1.0,,1.0,,,2699.9983,Rwanda,2016,a season,maize,,,80.937202,199.99988,80.937202,199.99988,,,,-2.34120019314925,29.8195122386332,,,pan_53,0.0500047281384468,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,809.37201,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,apply in hole,,1999.9987,,,,,,,75.0,40.0,,,2016-03-17,2015-10-15,,,,,29.81091476,-2.356720031
29701,60f362b3,Gatsibo,Kabeza,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,1709.3937,0.197702690958977,,,,1.0,,0.0,,,4223.9971,Rwanda,2016,a season,maize,,,0.0,0.0,0.0,0.0,,,,-1.59773539503678,30.3600727861782,,,nsp,0.0800075605511665,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,2023.4301,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,4999.9971,,,,,,,,,,,2016-02-04,2016-09-28,,,,,30.35578009,-1.594008309
29702,167cf871,Gatsibo,Kabeza,0.0,2.0,0.0,1.0,2.0,0.0,,0.0,1495.7194,0.0494256727397442,,,,2.0,,1.0,,,3695.9973,Rwanda,2016,a season,maize,,,40.468601,99.999939,19.424927,47.999966,,,,-1.5702989601217,30.352070300246,,,nsp,0.0200018901377916,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,4046.8601,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,apply in hole,,9999.9941,,,,,,,100.0,80.0,,,2016-01-18,2015-10-08,,,,,30.35578009,-1.594008309
29724,0ef3dd3f,Rusizi,MikoB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,546.32611,0.0370692536234856,,,,2.0,,1.0,,,1349.9991,Rwanda,2016,a season,maize,,,242.8116,599.99963,242.8116,599.99963,,,,-2.5172600898267,29.025636235135,,,nsp,0.015001418069005,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,5395.812,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,apply in hole,,13333.321,,,,,,,70.0,60.0,,,2016-02-25,2015-09-25,,,,,29.01383305,-2.5123274
29726,df0be530,Rutsiro,nganzoA,0.0,1.0,0.0,0.0,2.0,0.0,,0.0,1602.5565,0.0741385072469711,,,,1.0,,1.0,,,3959.9973,Rwanda,2016,a season,maize,,,0.0,0.0,0.0,0.0,,,,-1.7970956764418,29.3108146468251,,,sc_637,0.03000283613801,,,,1.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,4046.8601,,,,,,,,,,,,,,,161.8744,0.0,,,399.99976,,,,9999.9941,apply in hole,,,,,,70.0,40.0,,,2016-02-03,2015-09-15,,,,,29.30016205,-1.795746491
29753,7ffd8a8e,Rutsiro,Ruhingo,0.0,3.0,0.0,0.0,1.0,0.0,,0.0,872.46619,0.0988513454794884,,,,2.0,,1.0,,,2155.9075,Rwanda,2016,a season,maize,,,0.0,0.0,0.0,0.0,,,,-1.9920769929063,29.3634026521168,,,nsp,0.0400037802755833,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,1.0,,,0.0,,,,0.0,,,,,,,,,,,2016-02-08,2015-11-01,,,,,29.35324059,-1.997504125
29781,bdbd5126,Kibogora,Cyimpindu A,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1359.7449,0.0247128363698721,,,,2.0,,0.0,,,3359.9976,Rwanda,2016,a season,maize,,,121.4058,299.99982,80.937202,199.99988,,,,-2.2830897843095,29.2185882676521,,,nsp,0.0100009450688958,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,4046.8601,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,apply in hole,,9999.9941,,,,,,,,,,,2016-02-04,2015-10-10,,,,,29.22729569,-2.278404211
