,unique_id,district,pesticide,year,season,crop,field_latitude,field_longitude,plot_hectares,pest_disease,yield_kg_ph
43,5f8a2d6f,Rutsiro,1.0,2016,b season,potato,-1.93580282314691,29.427101085205,0.0500047281384468,0.0,1899.9987
44,510d39f7,Rutsiro,1.0,2016,b season,potato,-1.92576474758773,29.4333956487594,0.0500047281384468,0.0,7599.9946
45,c8e1a834,Rutsiro,1.0,2016,b season,potato,-1.93602934155323,29.435372792925,0.015001418069005,1.0,5199.9966
46,e6e22dea,Rutsiro,1.0,2016,b season,potato,-1.91610061512672,29.4746114159494,0.0100009450688958,0.0,3799.9973
47,5f11202a,Rutsiro,1.0,2016,b season,potato,-1.94414958391663,29.4828319285299,0.0600056722760201,0.0,5999.9961
48,c23edab0,Rutsiro,1.0,2016,b season,potato,-1.89456400283536,29.4604224351115,0.0200018901377916,0.0,8599.9941
49,87f1673b,Rutsiro,1.0,2016,b season,potato,-1.96413306635921,29.4426154920916,0.0800075605511665,1.0,13999.991
50,8dc34710,Rutsiro,1.0,2016,b season,potato,-1.94051512886283,29.4881598975558,0.0500047281384468,1.0,5799.9961
51,1d352804,Rutsiro,1.0,2016,b season,potato,-1.93598168139371,29.4414324621799,0.015001418069005,1.0,9799.9941
52,bd5908b1,Rutsiro,1.0,2016,b season,potato,-1.89463189717955,29.4603613978148,0.0200018901377916,0.0,5799.9961
53,945545fa,Rutsiro,1.0,2016,b season,potato,-1.89574490742103,29.4614515615251,0.03000283613801,1.0,15622.671
54,9ae6ae66,Rutsiro,1.0,2016,b season,potato,-1.94587566637,29.4438881692787,0.0600056722760201,1.0,5299.9961
55,514ae869,Rutsiro,1.0,2016,b season,potato,-1.94671734973271,29.4404727836747,0.0550052002072334,1.0,7799.9946
56,3903dbcc,Gatsibo,0.0,2016,b season,potato,-1.68726169097729,30.2961021387644,0.12001134455204,0.0,999.99933
57,e9ce725b,Rutsiro,0.0,2016,b season,potato,-1.93527314791121,29.4383157099223,0.0200018901377916,0.0,2799.9983
58,30b3baa8,Rutsiro,1.0,2016,b season,potato,-1.94265158688023,29.4384010147021,0.0260024592280388,0.0,5599.9966
59,d89c6681,Rutsiro,1.0,2016,b season,potato,-1.94931268514093,29.4253505408454,0.0400037802755833,1.0,5099.9971
60,1ceead33,Rutsiro,1.0,2016,b season,potato,-1.92232426207039,29.4558717237558,0.0200018901377916,1.0,5799.9961
61,b31cd22b,Rutsiro,1.0,2016,b season,potato,-1.9425084196889,29.4389474689599,0.0450042560696602,1.0,7599.9946
62,ce4b8b9d,Rutsiro,1.0,2016,b season,potato,-1.93015671962471,29.4403020382058,0.0100009450688958,1.0,5999.9961
