,Unnamed: 0,unique_id,district,pesticide,plot_acres,country,year,season,crop,field_latitude,field_longitude,plot_hectares,compost,pest_disease
34,29915,69882644,Nyanza,1.0,0.17298986017704,Rwanda,2016,a season,maize,-2.34679742697477,29.8362628085923,0.0700066238641739,1.0,0.0
35,29917,fbf065ca,Mugonero,0.0,0.0568395219743252,Rwanda,2016,a season,maize,-2.15674189551476,29.3497347650893,0.0230021737515926,1.0,1.0
36,29931,041379ca,Nyaruguru,1.0,0.118621625006199,Rwanda,2016,a season,maize,-2.75239411350388,29.6146310222954,0.0480045415461063,1.0,0.0
37,29935,d2a3ea2f,Mugonero,1.0,0.111207768321037,Rwanda,2016,a season,maize,-2.29325619467847,29.4040689151817,0.0450042560696602,1.0,0.0
38,29941,276bcff1,Mugonero,0.0,0.158162161707878,Rwanda,2016,a season,maize,-2.18121560949652,29.2623509935727,0.0640060529112816,1.0,0.0
39,29950,dd2cb761,Rutsiro,0.0,0.148277014493942,Rwanda,2016,a season,maize,-1.98139817868439,29.3799675454002,0.0600056722760201,1.0,1.0
40,29969,35fa6f68,Gatsibo,0.0,0.0741385072469711,Rwanda,2016,a season,maize,-1.59691673725633,30.3585213023,0.03000283613801,0.0,0.0
41,29975,e233f177,Rutsiro,0.0,0.197702690958977,Rwanda,2016,a season,maize,-1.74433451101292,29.3781229011531,0.0800075605511665,0.0,0.0
42,29977,5b333d9d,Rubengera,0.0,0.0494256727397442,Rwanda,2016,a season,maize,-2.06472225487232,29.5016415975988,0.0200018901377916,1.0,0.0
43,29989,3ceb4c01,Nyamasheke,0.0,0.197702690958977,Rwanda,2016,a season,maize,-2.40928865864182,29.0906666546703,0.0800075605511665,1.0,0.0
44,30003,3043d7a8,Rubengera,1.0,0.123564183712006,Rwanda,2016,a season,maize,-2.1024549649751,29.4975262769442,0.0500047281384468,1.0,0.0
45,30007,9778e43f,Gatsibo,0.0,0.197702690958977,Rwanda,2016,a season,maize,-1.56791120766836,30.3513259629232,0.0800075605511665,0.0,0.0
46,30022,b62b408a,Rutsiro,1.0,0.123564183712006,Rwanda,2016,a season,maize,-1.77741404818803,29.3178379189859,0.0500047281384468,1.0,1.0
47,30023,14158020,Rutsiro,0.0,0.111207768321037,Rwanda,2016,a season,maize,-1.74875448684708,29.3402636217026,0.0450042560696602,1.0,0.0
48,30029,7d4a9f4b,Gatsibo,0.0,0.197702690958977,Rwanda,2016,a season,maize,-1.58649035668051,30.3541273999147,0.0800075605511665,0.0,0.0
49,30031,dc527b56,Rutsiro,0.0,0.259484797716141,Rwanda,2016,a season,maize,-1.98149311861238,29.3835872912363,0.105009935796261,1.0,0.0
50,30032,62fa562c,Karongi,0.0,0.0370692536234856,Rwanda,2016,a season,maize,-2.19240796907992,29.3696866748119,0.015001418069005,1.0,0.0
51,30041,e7edf4bd,Gisagara,1.0,0.0988513454794884,Rwanda,2016,a season,maize,-2.63211006361981,29.8454077530262,0.0400037802755833,1.0,0.0
52,30045,08c38fd2,Mugonero,1.0,0.12974239885807,Rwanda,2016,a season,maize,-2.13039900099514,29.2647805905297,0.0525049678981304,1.0,0.0
53,30058,88062905,Rutsiro,0.0,0.123564183712006,Rwanda,2016,a season,maize,-1.91121095270745,29.3972743795558,0.0500047281384468,1.0,0.0
54,30060,bb2d4b8a,Karongi,0.0,0.0494256727397442,Rwanda,2016,a season,maize,-2.14405564548658,29.3626114607566,0.0200018901377916,1.0,0.0
55,30067,112720,Gatsibo,0.0,0.617820918560028,Rwanda,2016,a season,maize,-1.59226318619331,30.3525601827188,0.250023633241653,1.0,0.0
56,30076,1263d779,Karongi,0.0,0.0741385072469711,Rwanda,2016,a season,maize,-2.05675898000459,29.4005461827204,0.03000283613801,1.0,1.0
57,30079,2db83a88,Rutsiro,0.0,0.160633444786072,Rwanda,2016,a season,maize,-1.99670141761813,29.366793373158,0.0650061517953873,0.0,0.0
58,30080,bd8d5ab3,Kibogora,0.0,0.0247128363698721,Rwanda,2016,a season,maize,-2.31040432068237,29.2181489154147,0.0100009450688958,1.0,0.0
59,30085,4bd967d6,Rutsiro,0.0,0.210059106349945,Rwanda,2016,a season,maize,-2.00983497196147,29.3496402897708,0.0850080326199532,1.0,0.0
60,30093,ca79f91d,Karongi,0.0,0.0247128363698721,Rwanda,2016,a season,maize,-2.15325521902638,29.3695118869159,0.0100009450688958,1.0,0.0
61,30118,3c700327,Nyanza,0.0,0.0988513454794884,Rwanda,2016,a season,maize,-2.28660698794484,29.8373959689169,0.0400037802755833,1.0,0.0
