,unique_id,district,pesticide,year,season,crop,field_latitude,field_longitude,plot_hectares,pest_disease,yield_kg_ph,geometry,NDVI,EVI,SAVI,GNDVI,NDVI,EVI,SAVI,GNDVI,DVI,OSAVI,RDVI
0,874d18ad,Rutsiro,1.0,2016,a season,potato,-1.89560424050316,29.4616037787137,0.0100009450688958,1.0,6944.4395,"POLYGON ((29.461513943351473 -1.8955144051409314, 29.46169361407593 -1.8955144051409314, 29.46169361407593 -1.8956940758653884, 29.461513943351473 -1.8956940758653884, 29.461513943351473 -1.8955144051409314))",0.1332872551433819,-0.3759014291694564,0.1998991662610267,0.1011410054856354,0.1332872551433819,-0.3759014291694564,0.1998991662610267,0.1011410054856354,419.9948453608248,0.1999207368164749,7.481868853442775
1,670007f2,Rutsiro,1.0,2016,a season,potato,-1.93356253472726,29.4693401823163,0.0100009450688958,0.0,13611.101,"POLYGON ((29.469250346954073 -1.9334726993650315, 29.46943001767853 -1.9334726993650315, 29.46943001767853 -1.9336523700894885, 29.469250346954073 -1.9336523700894885, 29.469250346954073 -1.9334726993650315))",,,,,,,,,,,
2,810316a1,Rutsiro,1.0,2016,a season,potato,-1.9128800490153,29.4557471896017,0.0100009450688958,1.0,8819.4385,"POLYGON ((29.45565735423947 -1.9127902136530714, 29.455837024963927 -1.9127902136530714, 29.455837024963927 -1.9129698843775285, 29.45565735423947 -1.9129698843775285, 29.45565735423947 -1.9127902136530714))",0.3690627515316009,16.108647450110865,0.5535238095238095,0.3344887495040893,0.3690627515316009,16.108647450110865,0.5535238095238095,0.3344887495040893,1453.0,0.5535716099929899,23.15703259263408
3,86b3d0f2,Rutsiro,1.0,2016,a season,potato,-1.91271704709043,29.4549311622505,0.03000283613801,1.0,5283.3306,"POLYGON ((29.45477556283639 -1.9125614476763189, 29.45508676166461 -1.9125614476763189, 29.45508676166461 -1.9128726465045411, 29.45477556283639 -1.9128726465045411, 29.45477556283639 -1.9125614476763189))",0.4934093207120895,12.383644062767198,0.740034524683091,0.4377074688673019,0.4934093207120895,12.383644062767198,0.740034524683091,0.4377074688673019,2299.5,0.7400885515953937,33.68064237196922
4,1063ecfa,Rutsiro,1.0,2016,a season,potato,-1.75376082749354,29.339619058169,0.0250023640692234,1.0,9999.9941,"POLYGON ((29.339477015985498 -1.7536187853100373, 29.3397611003525 -1.7536187853100373, 29.3397611003525 -1.7539028696770425, 29.339477015985498 -1.7539028696770425, 29.339477015985498 -1.7536187853100373))",0.4447344153071397,-3.126773298134621,0.6669910395585621,0.3652103017411829,0.4447344153071397,-3.126773298134621,0.6669910395585621,0.3652103017411829,1344.6681957186545,0.6670662333814668,24.446445286030915
5,063e1baf,Rutsiro,1.0,2016,a season,potato,-1.93770830455104,29.4570437506466,0.0100009450688958,1.0,8541.6611,"POLYGON ((29.456953915284373 -1.9376184691888114, 29.45713358600883 -1.9376184691888114, 29.45713358600883 -1.9377981399132684, 29.456953915284373 -1.9377981399132684, 29.456953915284373 -1.9376184691888114))",,,,,,,,,,,
6,e87982ee,Rutsiro,1.0,2016,a season,potato,-1.93305159523656,29.4387533590992,0.0200018901377916,1.0,4308.3311,"POLYGON ((29.438626312711555 -1.9329245488489155, 29.43888040548684 -1.9329245488489155, 29.43888040548684 -1.9331786416242043, 29.438626312711555 -1.9331786416242043, 29.438626312711555 -1.9329245488489155))",0.4007915314634641,-17.505291399396498,0.6010927546738899,0.3520754601756732,0.4007915314634641,-17.505291399396498,0.6010927546738899,0.3520754601756732,1280.5953333333337,0.6011570440399197,22.640551708682043
7,f9d20c98,Rutsiro,1.0,2016,a season,potato,-1.76143316281048,29.3440149070948,0.0200018901377916,0.0,0.0,"POLYGON ((29.343887860707156 -1.7613061164228356, 29.344141953482442 -1.7613061164228356, 29.344141953482442 -1.7615602091981244, 29.343887860707156 -1.7615602091981244, 29.343887860707156 -1.7613061164228356))",0.3645049929618835,2.40994623655914,0.5467019005996544,0.3581545948982239,0.3645049929618835,2.40994623655914,0.5467019005996544,0.3581545948982239,1793.0,0.5467396872636792,25.56476931974992
8,723cd615,Rutsiro,1.0,2016,a season,potato,-1.94372948126997,29.4346510716263,0.0175016559660435,1.0,9799.9941,"POLYGON ((29.434532230605488 -1.9436106402491573, 29.43476991264711 -1.9436106402491573, 29.43476991264711 -1.9438483222907825, 29.434532230605488 -1.9438483222907825, 29.434532230605488 -1.9436106402491573))",,,,,,,,,,,
9,04ab21a9,Rutsiro,1.0,2016,a season,potato,-1.9503390851237,29.434857234604,0.03000283613801,0.0,14799.991,"POLYGON ((29.43470163518989 -1.9501834857095888, 29.43501283401811 -1.9501834857095888, 29.43501283401811 -1.950494684537811, 29.43470163518989 -1.950494684537811, 29.43470163518989 -1.9501834857095888))",,,,,,,,,,,
10,1125940,Rutsiro,1.0,2016,a season,potato,-1.95630647191703,29.4218313779232,0.0450042560696602,1.0,4199.9971,"POLYGON ((29.421640808334832 -1.956115902328662, 29.42202194751157 -1.956115902328662, 29.42202194751157 -1.956497041505398, 29.421640808334832 -1.956497041505398, 29.421640808334832 -1.956115902328662))",0.400522306554897,18.600389740381157,0.6007103571540917,0.3886418220199674,0.400522306554897,18.600389740381157,0.6007103571540917,0.3886418220199674,1652.453903837671,0.6007600673326737,25.71312448898678
