,unique_id,district,pesticide,year,season,crop,field_latitude,field_longitude,plot_hectares,pest_disease,yield_kg_ph,geometry,NDVI,EVI,SAVI,GNDVI
0,b16e2559,Rutsiro,0.0,2016,a season,maize,-1.79145566571825,29.3068799686367,0.0500047281384468,0.0,1557.6909,"POLYGON ((29.306679090654363 -1.7912547877359117, 29.307080846619037 -1.7912547877359117, 29.307080846619037 -1.7916565437005885, 29.306679090654363 -1.7916565437005885, 29.306679090654363 -1.7912547877359117))",0.0808042126115072,-0.6303775065847786,0.1211862543815054,0.0874964202838865
1,d1bb83da,Kibogora,0.0,2016,a season,maize,-2.28327897947424,29.2223196770698,0.0200018901377916,0.0,2975.998,"POLYGON ((29.22219263068216 -2.2831519330865957, 29.222446723457445 -2.2831519330865957, 29.222446723457445 -2.2834060258618845, 29.22219263068216 -2.2834060258618845, 29.22219263068216 -2.2831519330865957))",0.4710640907287597,-0.6400067636117688,0.7063763608087091,0.2840847373008728
2,acb2142a,Nyamasheke,0.0,2016,a season,maize,-2.41140760778744,29.0901419078055,0.0100009450688958,0.0,2999.998,"POLYGON ((29.09005207244327 -2.4113177724252113, 29.090231743167728 -2.4113177724252113, 29.090231743167728 -2.4114974431496687, 29.09005207244327 -2.4114974431496687, 29.09005207244327 -2.4113177724252113))",0.5932891441982558,17.609777985689817,0.8898177178446696,0.5119218498731618
3,13fc191f,Rubengera,1.0,2016,a season,maize,-2.08681044401397,29.4876714004386,0.0250023640692234,0.0,4374.9971,"POLYGON ((29.4875293582551 -2.0866684018304675, 29.4878134426221 -2.0866684018304675, 29.4878134426221 -2.086952486197472, 29.4875293582551 -2.086952486197472, 29.4875293582551 -2.0866684018304675))",0.5932891441982558,17.609777985689817,0.8898177178446696,0.5119218498731618
4,ccad678e,Nyanza,0.0,2016,a season,maize,-2.34603008015178,29.8349752423306,0.0200018901377916,0.0,0.0,"POLYGON ((29.834848195942957 -2.345903033764136, 29.835102288718243 -2.345903033764136, 29.835102288718243 -2.3461571265394245, 29.834848195942957 -2.3461571265394245, 29.834848195942957 -2.345903033764136))",0.4886506965994426,4.460614003752919,0.7328955556911108,0.4515511593592044
5,ae6aa946,Rutsiro,0.0,2016,a season,maize,-1.74872167995175,29.3408894178812,0.0100009450688958,0.0,5707.4961,"POLYGON ((29.340799582518972 -1.7486318445895215, 29.34097925324343 -1.7486318445895215, 29.34097925324343 -1.7488115153139785, 29.340799582518972 -1.7488115153139785, 29.340799582518972 -1.7486318445895215))",0.5107409646970972,-6.441376588759401,0.7660156767247681,0.4284307823568431
6,5f49f37d,Rutsiro,0.0,2016,a season,maize,-1.95823765334249,29.3357548741869,0.0200018901377916,0.0,8812.4951,"POLYGON ((29.335627827799257 -1.9581106069548455, 29.335881920574543 -1.9581106069548455, 29.335881920574543 -1.9583646997301343, 29.335627827799257 -1.9583646997301343, 29.335627827799257 -1.9581106069548455))",0.6904052201442794,35.82589432983838,1.0354830163221056,0.5870631770308518
7,d009b7a8,Rutsiro,0.0,2016,a season,maize,-1.89207565368862,29.2890295555313,0.0200018901377916,0.0,5343.7466,"POLYGON ((29.288902509143657 -1.8919486073009757, 29.289156601918943 -1.8919486073009757, 29.289156601918943 -1.8922027000762645, 29.288902509143657 -1.8922027000762645, 29.288902509143657 -1.8919486073009757))",0.5919377388818656,21.145626340163854,0.8877819116661662,0.487146260748886
8,f9aa5654,Mugonero,0.0,2016,a season,maize,-2.15513487943314,29.3496994565247,0.0190017968416214,0.0,2118.7485,"POLYGON ((29.349575627019494 -2.155011049927933, 29.349823286029906 -2.155011049927933, 29.349823286029906 -2.155258708938347, 29.349575627019494 -2.155258708938347, 29.349575627019494 -2.155011049927933))",0.5832207370482057,-62.325763016451575,0.8746726448474719,0.4612441713803807
9,8f7a6b97,Kibogora,0.0,2016,a season,maize,-2.30847565286298,29.1951132534419,0.0500047281384468,0.0,1439.9989,"POLYGON ((29.194912375459563 -2.308274774880642, 29.195314131424237 -2.308274774880642, 29.195314131424237 -2.3086765308453185, 29.194912375459563 -2.3086765308453185, 29.194912375459563 -2.308274774880642))",0.6265039814336629,8.945564768891975,0.9396376027084964,0.5451726092778003
10,31059ade,Nyamasheke,1.0,2016,a season,maize,-2.34600756730551,29.106166579189,0.03000283613801,0.0,4589.9971,"POLYGON ((29.10601097977489 -2.3458519678913987, 29.10632217860311 -2.3458519678913987, 29.10632217860311 -2.346163166719621, 29.10601097977489 -2.346163166719621, 29.10601097977489 -2.3458519678913987))",0.6894723586543069,-62.25586019054238,1.034081899885828,0.5777577430751001
11,a45c6086,Gatsibo,0.0,2016,a season,maize,-1.59666778245892,30.3588140550068,0.0600056722760201,0.0,6687.9951,"POLYGON ((30.358594004205067 -1.5964477316571866, 30.359034105808533 -1.5964477316571866, 30.359034105808533 -1.5968878332606533, 30.358594004205067 -1.5968878332606533, 30.358594004205067 -1.5964477316571866))",0.5461085321701723,-11.503531517743845,0.8190266589882808,0.4525487874923082
12,105d0486,Karongi,1.0,2016,a season,maize,-2.23268670172269,29.4351676225428,0.042003970593214,0.0,4456.4722,"POLYGON ((29.43498351483318 -2.2325025940130727, 29.435351730252417 -2.2325025940130727, 29.435351730252417 -2.232870809432307, 29.43498351483318 -2.232870809432307, 29.43498351483318 -2.2325025940130727))",0.5318097973923519,88.04795343058761,0.7976151824286748,0.4922470817509205
